participant,population,surface,task,run,seconds,assists,correct
A1,agent,S1,T1,1,43.6,0,1
A1,agent,S1,T1,2,26.4,0,1
A1,agent,S1,T1,3,25.6,0,1
A1,agent,S1,T2,1,38.4,0,1
A1,agent,S1,T2,2,21.6,0,1
A1,agent,S1,T2,3,25.6,0,1
A1,agent,S1,T3,1,72.7,0,1
A1,agent,S1,T3,2,41.4,0,1
A1,agent,S1,T3,3,35.8,0,1
A1,agent,S2,T1,1,32.4,0,1
A1,agent,S2,T1,2,24.8,0,1
A1,agent,S2,T1,3,24.4,0,1
A1,agent,S2,T2,1,23.4,0,1
A1,agent,S2,T2,2,16.8,0,1
A1,agent,S2,T2,3,16.2,0,1
A1,agent,S2,T3,1,39.0,0,1
A1,agent,S2,T3,2,37.4,0,1
A1,agent,S2,T3,3,37.6,0,1
A1,agent,S3,T1,1,82.3,0,1
A1,agent,S3,T1,2,37.2,0,1
A1,agent,S3,T1,3,33.0,0,1
A1,agent,S3,T2,1,46.6,0,1
A1,agent,S3,T2,2,41.2,0,1
A1,agent,S3,T2,3,39.6,0,1
A1,agent,S3,T3,1,72.9,0,1
A1,agent,S3,T3,2,46.2,0,1
A1,agent,S3,T3,3,43.0,0,1
